County_of_Residence,State,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_Birth_Weight_gms
Merced County,CA,3875,27.98,38.5,3309.74
Schuylkill County,PA,1272,27.87,38.5,3292.76
Monroe County,PA,1518,29.09,38.58,3260.31
DuPage County,IL,10298,31.2,38.49,3303.16
Schenectady County,NY,1840,29.35,38.57,3267.93
Pinal County,AZ,4498,27.81,38.48,3310.29
Montgomery County,MD,12401,31.77,38.56,3293.84
Washington County,WI,1300,30.32,38.39,3335.41
Unidentified Counties,CO,8105,29.0,38.55,3156.18
Honolulu County,HI,12168,29.7,38.38,3226.58
Johnson County,KS,7140,30.65,38.54,3350.41
Santa Fe County,NM,1180,28.78,38.45,3117.33
Hartford County,CT,9239,30.06,38.42,3257.06
Iredell County,NC,1891,28.62,38.42,3266.94
Unidentified Counties,OH,30582,27.33,38.42,3303.36
El Dorado County,CA,1674,30.5,38.74,3331.94
Cumberland County,PA,2597,29.4,38.74,3342.85
King County,WA,24347,31.57,38.73,3317.72
Unidentified Counties,WA,12152,28.26,38.64,3359.64
Shasta County,CA,1966,28.45,38.79,3334.3
Kitsap County,WA,2994,28.93,38.7,3382.16
Oswego County,NY,1217,28.14,38.81,3399.0
Unidentified Counties,LA,18874,26.78,37.99,3168.63
Vigo County,IN,1131,26.84,38.21,3261.14
Lubbock County,TX,3896,27.34,38.33,3220.78
Charlotte County,FL,1040,28.04,38.32,3213.5
Escambia County,FL,3733,27.59,38.22,3220.72
Charleston County,SC,4861,30.02,38.3,3228.74
Hardin County,KY,1431,27.33,38.28,3284.02
Ellis County,TX,2214,28.08,38.35,3293.55
Frederick County,MD,2969,30.26,38.5,3322.29
Jackson County,MI,1741,27.34,38.5,3267.48
Allegan County,MI,1416,28.46,38.58,3392.26
Whitfield County,GA,1300,27.32,38.41,3281.02
Warren County,NJ,1020,30.3,38.56,3296.84
Ventura County,CA,9065,30.08,38.64,3321.65
Berrien County,MI,1674,28.1,38.63,3291.82
Kent County,MI,8648,28.88,38.54,3306.64
Beaver County,PA,1575,28.86,38.61,3293.48
Mercer County,PA,1078,27.85,38.44,3254.28
Kenosha County,WI,1788,28.61,38.52,3296.49
Adams County,CO,6293,28.81,38.6,3199.97
Franklin County,MO,1174,27.89,38.43,3322.01
Chesterfield County,VA,3841,29.93,38.43,3289.78
Kings County,NY,38574,30.39,38.68,3236.79
Suffolk County,MA,9072,31.15,38.59,3244.73
Unidentified Counties,VT,4040,29.26,38.74,3337.27
Unidentified Counties,NH,2753,28.99,38.82,3365.34
Barnstable County,MA,1496,30.74,38.78,3371.01
Ulster County,NY,1546,29.83,38.85,3344.49
Kanawha County,WV,1864,27.29,37.95,3216.66
Lafayette Parish,LA,3242,28.42,38.24,3235.51
St. Louis County,MO,11368,29.63,38.24,3217.56
Bexar County,TX,26562,28.25,38.18,3226.31
Fond du Lac County,WI,1073,28.62,38.41,3327.55
Unidentified Counties,IL,21369,27.67,38.31,3291.15
St. Lucie County,FL,3123,28.6,38.38,3237.11
Clay County,MO,3105,29.08,38.46,3311.04
Berkeley County,SC,2801,28.43,38.29,3256.49
Lee County,FL,6793,28.57,38.37,3254.16
Greenville County,SC,6225,28.92,38.37,3269.86
Monroe County,MI,1468,28.51,38.44,3331.18
Bell County,TX,5889,27.13,38.35,3229.86
San Francisco County,CA,8697,33.31,38.75,3272.53
Berkshire County,MA,1002,29.46,38.75,3287.72
Yuma County,AZ,3034,27.06,38.57,3336.28
Hampden County,MA,4926,28.55,38.57,3281.32
Missoula County,MT,1063,29.63,38.57,3275.99
Ramsey County,MN,7517,29.62,38.65,3281.27
Pierce County,WA,11478,28.85,38.63,3337.81
Hennepin County,MN,15845,30.91,38.71,3315.62
Solano County,CA,5033,29.57,38.68,3330.54
Spotsylvania County,VA,1503,29.06,38.42,3299.24
Plymouth County,MA,5028,31.18,38.67,3341.9
Unidentified Counties,NJ,1433,28.52,38.67,3315.64
Jackson County,OR,2199,28.72,38.67,3335.41
Centre County,PA,1171,30.06,38.97,3368.83
Sangamon County,IL,2240,28.62,38.03,3178.69
Cameron County,TX,6306,26.83,38.03,3192.97
Horry County,SC,3153,28.08,38.24,3264.39
Baldwin County,AL,2290,28.01,38.23,3258.78
Tangipahoa Parish,LA,1916,26.97,38.39,3187.49
