year,description,total_crime,CrimeGroup
2015,BURG OF RES - SEXUAL NATURE   ,8,Other Crimes
2015,AGG RAPE                      ,17,ASSAULT
2016,AGG ASSAULT ON PUBLIC SERVANT ,22,ASSAULT
2015,BREACH OF COMPUTER SECURITY   ,74,Other Crimes
2014,AGG ROBBERY BY ASSAULT        ,18,ASSAULT
2016,AGG ASLT ENHANC STRANGL/SUFFOC,54,ASSAULT
2016,AGG ROBBERY BY ASSAULT        ,20,ASSAULT
2015,AGG ROBBERY BY ASSAULT        ,27,ASSAULT
2016,MURDER                        ,30,Other Crimes
2016,TAKE WEAPON FRM POLICE OFFICER,8,Other Crimes
2016,AGG FORCED SODOMY             ,2,ASSAULT
2015,AGG ASLT ENHANC STRANGL/SUFFOC,83,ASSAULT
2015,MURDER                        ,22,Other Crimes
2015,PURSE SNATCHING               ,8,Other Crimes
2016,MANSLAUGHTER                  ,4,Other Crimes
2014,THEFT OF HEAVY EQUIPMENT      ,9,THEFT
2016,BURGLARY OF COIN-OP MACHINE   ,29,BURGLARY
2015,AGG ASLT W/MOTOR VEH FAM/DAT V,41,ASSAULT
2016,AGG ASLT W/MOTOR VEH FAM/DAT V,26,ASSAULT
2016,BURG OF RES - SEXUAL NATURE   ,10,Other Crimes
2014,MURDER                        ,20,Other Crimes
2016,AGG SEXUAL ASSAULT W OBJECT   ,8,ASSAULT
2015,AGG ASSAULT ON PUBLIC SERVANT ,11,ASSAULT
2014,PURSE SNATCHING               ,7,Other Crimes
2016,POCKET PICKING                ,3,Other Crimes
2016,PURSE SNATCHING               ,4,Other Crimes
2015,TAKE WEAPON FRM POLICE OFFICER,8,Other Crimes
2014,AGG ASSAULT ON PUBLIC SERVANT ,14,ASSAULT
2014,MISAPPLY FIDUCIARY PROP       ,11,Other Crimes
2014,DEADLY CONDUCT FAM/DATE VIOL  ,3,Other Crimes
2016,CAPITAL MURDER                ,4,Other Crimes
2014,CAPITAL MURDER                ,7,Other Crimes
2016,DEADLY CONDUCT FAM/DATE VIOL  ,3,Other Crimes
2014,MANSLAUGHTER                  ,5,Other Crimes
2015,MANSLAUGHTER                  ,1,Other Crimes
2015,THEFT/TILL TAPPING            ,6,THEFT
2014,BURG OF RES - SEXUAL NATURE   ,5,Other Crimes
2016,THEFT/TILL TAPPING            ,2,THEFT
2016,FORCED SODOMY OF CHILD        ,2,Other Crimes
2015,DEADLY CONDUCT FAM/DATE VIOL  ,3,Other Crimes
2015,MISAPPLY FIDUCIARY PROP       ,1,Other Crimes
2016,SERIOUS INJURY TO A CHILD     ,1,Other Crimes
2016,THEFT CATALYTIC CONVERTER     ,1,THEFT
2016,AGG FORCED SODOMY OF CHILD    ,1,ASSAULT
2015,AIRPORT - BREACH OF SECURITY  ,3,Other Crimes
2014,AIRPORT - BREACH OF SECURITY  ,1,Other Crimes
