YEAR,MONTH,mean_temp,median_temp,var_temp,min_temp,max_temp,mean_prcp,median_prcp,var_prcp,min_prcp,max_prcp
1979,2,31.237469527059968,32.7,346.02174578855636,-30.6,85.6,0.07613401573310587,0.0,0.06551073470468262,0.0,5.39
1979,3,45.58713762811128,45.7,183.5314425916947,-12.2,84.4,0.06201707373095475,0.0,0.05745208148176304,0.0,10.91
1979,4,53.01898520243371,53.2,163.50711560488975,3.3,89.9,0.07640928005024732,0.0,0.10231268624999709,0.0,16.22
1979,5,61.86493059370765,62.0,112.77480298305919,17.4,97.7,0.07812244279436278,0.0,0.08983559569103584,0.0,10.59
1979,6,69.89360081836782,70.1,86.07462543773809,27.7,104.8,0.06203582873248137,0.0,0.06739811392860719,0.0,5.47
1979,7,74.58450226661262,75.1,63.982691036529936,29.9,106.9,0.07995277892290972,0.0,0.13003656924148949,0.0,19.53
1979,8,72.79188652169114,73.2,70.61083018023383,34.6,101.8,0.07232723155312323,0.0,0.06577521336538199,0.0,6.69
1979,9,68.35273073989322,68.4,81.18144912006667,20.7,100.3,0.079405894458898,0.0,0.16920376321004982,0.0,11.14
1979,10,57.551199970462264,58.0,140.78596724886202,12.6,89.7,0.05055449110974862,0.0,0.04857147639446772,0.0,12.01
1979,11,45.38658280922432,45.4,177.3384968365429,-16.8,89.9,0.05977758837615162,0.0,0.06354458889456543,0.0,11.5
1979,12,39.62396733909702,39.1,172.410047751233,-23.1,88.5,0.04383542645812467,0.0,0.041802101357700384,0.0,8.11
1980,1,35.039285183533956,35.0,267.6769927492806,-25.0,89.1,0.05691069960458835,0.0,0.04418230065405208,0.0,5.71
1980,2,35.32910065421297,34.1,257.4173173088276,-18.8,90.0,0.045558179031523136,0.0,0.036761251182168324,0.0,10.2
1980,3,42.67190497270179,42.2,214.48826143900885,-17.1,89.6,0.0831276150627615,0.0,0.09063759666948168,0.0,11.1
1980,4,54.2722921153047,54.1,129.5894868912402,8.2,89.3,0.06197097562899283,0.0,0.0679279524643322,0.0,8.98
1980,5,62.98706493126645,63.0,103.7887720219618,23.2,99.9,0.065561352802072,0.0,0.07754783896279467,0.0,13.43
1980,6,70.40043937729631,70.5,115.13771495845452,21.2,105.3,0.05670431609998448,0.0,0.0642409293746868,0.0,11.02
1980,7,77.06681505463375,77.4,85.58020703382131,35.6,109.3,0.04936042588288221,0.0,0.04957393952182232,0.0,9.72
1980,8,74.88522200378353,75.3,83.8407074874362,16.9,106.2,0.0581879397745328,0.0,0.06757243605777614,0.0,9.41
1980,9,68.62275325863251,68.4,114.41951276078025,17.6,101.3,0.06226241521789974,0.0,0.0762801968354869,0.0,15.39
1980,10,55.778801724455576,55.8,153.23126518653254,9.5,90.0,0.047580999242997725,0.0,0.05189359558127192,0.0,7.09
1980,11,46.083001965527664,44.9,161.68701137720277,0.1,89.3,0.045459799488893254,0.0,0.06203240141719685,0.0,18.82
1980,12,37.850067104085895,38.5,254.41457107255732,-23.6,89.5,0.036010613391602934,0.0,0.032504543064469746,0.0,6.54
1981,1,34.13074159134687,34.4,230.81579320441796,-31.1,89.9,0.023212777393841665,0.0,0.014473163938862853,0.0,5.0
1981,2,40.218150108744716,41.4,259.6926117123647,-22.8,90.0,0.062339419978517725,0.0,0.07229512411197779,0.0,7.72
1981,3,45.78843930635838,44.9,142.1571094624658,-6.1,89.3,0.04791650693858775,0.0,0.03900861269511629,0.0,7.28
1981,4,57.536861659779355,57.4,137.68856041129123,2.8,89.6,0.0504490100565682,0.0,0.03933531989059317,0.0,11.46
1981,5,61.7848395426042,61.5,102.75574344505549,14.4,95.1,0.07552083333333333,0.0,0.09510261140731313,0.0,12.01
1981,6,72.36968603669303,72.8,96.74378835572683,27.6,107.7,0.07906929990539262,0.0,0.09981359743646326,0.0,14.02
1981,7,75.65509167631353,76.0,73.29604874336901,37.1,107.6,0.07151383654980778,0.0,0.08768960391017973,0.0,11.14
1981,8,73.89822528600763,73.5,61.70097371214261,37.1,109.4,0.06585522388059702,0.0,0.09245765880326291,0.0,13.39
1981,9,67.19986195260373,67.5,95.16518539337436,15.7,108.9,0.05293872904973113,0.0,0.06336823195776627,0.0,10.79
1981,10,55.56809924179866,54.7,134.17083959106543,17.1,89.8,0.06662109299353189,0.0,0.07058542195959269,0.0,6.89
1981,11,48.183252352306035,47.9,145.49983943914987,-1.2,89.9,0.04180860403863038,0.0,0.0343056165568492,0.0,5.04
